what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336543107570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543109847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543114106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543125554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543145358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543152202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543178919
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336543179006
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336543179093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336543192940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336543194594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336543435061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543443008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543479900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543482116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543507271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336543536539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543537411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336543538340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336543864908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543885467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543885837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543886017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543886137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543886630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543886663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543886696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543886734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543886767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543886795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543886828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336543886940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1336543888335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336543900756
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1336543928709
